categoria,pergunta,opcao_a,opcao_b,opcao_c,opcao_d,resposta_correta,referencia_biblica
Kings,Which two kings disguised themselves and were killed in battle?,Ahab and Josiah,Ahab and Zedekiah,Josiah and Jehoiakim,Zedekiah and Jehu,A,1 Kings 22:34; 2 Chronicles 35:22
Kings,Which king was killed by his own sons?,Ahaz,Jotham,Sennacherib,Manasseh,C,2 Kings 19:36
Kings,Which king had his eyes put out after capture?,Rehoboam,Abijah,Zedekiah,Jehoram,C,2 Kings 25:7
Kings,Which king’s name means ‘peaceful’?,David,Solomon,Josiah,Manasseh,B,1 Chronicles 22:9
Kings,Who became king at seven years old?,Joash,Ahaz,Jehoshaphat,Hosea,A,2 Chronicles 23:11
Kings,Which king was struck with leprosy?,Uzziah,Amaziah,Jehoram,Athaliah,A,2 Chronicles 26:19
Kings,Which king practiced child sacrifice?,Ahab,Ahaz,Abimelech,Menahem,B,2 Chronicles 28:3
Prophets,What is considered the first prophecy in Scripture?,End of the age,Seed defeating the serpent,Coming of Christ,Temple destruction,B,Genesis 3:15
Prophets,Whose raised hands brought victory to Israel?,Elijah,Elisha,Moses,Joshua,C,Exodus 17:12
Prophets,Who foretold the division of Israel’s kingdom?,Isaiah,Ahijah,Nahum,Nehemiah,B,1 Kings 11:29
Prophets,Which prophet predicted Judah’s Babylonian captivity?,Jeremiah,Haggai,Zechariah,Nahum,A,Jeremiah 20:4
Prophets,Which prophet was taken captive to Babylon?,Daniel,Ezekiel,Malachi,Hosea,B,Ezekiel 1:1
Prophets,Who was lifted by a lock of hair in a vision?,Elijah,Daniel,Ezekiel,Joel,C,Ezekiel 8:3
Prophets,Which prophet was sent to Nineveh?,Nahum,Jonah,Joel,Amos,B,Jonah 1:1–2
Prophets,Whose prophecy announced Nineveh’s destruction?,Jonah,Isaiah,Daniel,Nahum,D,Nahum 3
Jesus and His Disciples,What was Jesus’s final command before ascending?,Love one another,Honor the Sabbath,Make disciples of all nations,Help the poor,C,Matthew 28:19
Jesus and His Disciples,To whom did Jesus say ‘I will make you fishers of men’?,Peter and Andrew,James and John,Matthew and Thomas,"Peter, Andrew, James",A,Mark 1:17
Jesus and His Disciples,What two promises did Jesus give before leaving?,Peace and wealth,Salvation and law,Comforter and return,Angels and protection,C,John 14
Jesus and His Disciples,Which apostle said he left everything to follow Jesus?,John,James,Peter,Matthew,C,John 13:37
Jesus and His Disciples,Who replaced Judas Iscariot?,Stephen,Matthias,Paul,Barnabas,B,Acts 1:23
Jesus and His Disciples,Which apostle was the first martyr?,Andrew,James,Peter,John,B,Acts 12:2
Who God Is,What was God’s first command to humanity?,Rule the earth,Fill the earth,Be fruitful and multiply,Love your neighbor,C,Genesis 1:28
Who God Is,What does ‘Jehovah Shammah’ mean?,The Lord is here,The Lord is near,The Lord is there,The Lord is peace,C,Ezekiel 48:35
Who God Is,How did God show His presence at the temple dedication?,Thunder,Rain,Fire from heaven,Earthquake,C,2 Chronicles 7:1
Who God Is,On which occasions did Jesus weep?,"Lazarus, Jerusalem, Gethsemane",Bethlehem twice,Nazareth and Jerusalem,Only at Lazarus’s tomb,A,John 11; Luke 19; Hebrews 5
Who God Is,Who is called the Light of the World?,Moses,John,Jesus,Abraham,C,John 8:12
Fruit of Faith,When was the Sabbath instituted?,After the flood,At Sinai,After creation,In Eden by Adam,C,Genesis 2:2–3
Fruit of Faith,Who first confessed to God in Scripture?,Adam,Abram,Jacob,Moses,C,Genesis 32:9
Fruit of Faith,Who killed 600 Philistines with an ox goad?,Samson,Shamgar,Jonathan,David,B,Judges 3:31
Fruit of Faith,Who was the first person raised from the dead in Scripture?,Lazarus,Jesus,Widow’s son,Zarephath’s son,D,1 Kings 17:21
Fruit of Faith,Who was sustained 40 days by angelic food?,Moses,Elijah,Manoah,Joseph,B,1 Kings 19:8
Fruit of Faith,What is the whole duty of humanity?,Multiply,Fear God and obey,Care for earth,Love enemies,B,Ecclesiastes 12:13
Punishments,Who died for offering unauthorized fire?,Korah and Dathan,Nadab and Abihu,Uzzah and Obed,Cain and Abel,B,Leviticus 10:1–2
Punishments,Who touched the ark and was struck dead?,Obed,Uzzah,Caleb,Naaman,B,1 Chronicles 13:9
Wars and Conflict,How many Philistines did Samson kill with a jawbone?,300,600,"1,000","2,000",C,Judges 15:15
Wars and Conflict,Which warrior’s hand clung to his sword?,Eleazar,David,Jabez,Elijah,A,2 Samuel 23:10
Promise and Privilege,To whom did God promise descendants like the stars?,Isaac,Jacob,Abraham,Joseph,C,Genesis 15:5
Promise and Privilege,Who was promised to become a great nation besides Isaac?,Esau,Ishmael,Caleb,Zelophehad,B,Genesis 17:20
Fun Facts,What guarded the tree of life?,A wall,Fire,Cherubim and sword,Leviathan,C,Genesis 3:24
Fun Facts,What was the first city named in the Bible?,Babylon,Nineveh,Enoch,Sodom,C,Genesis 4:17
Fun Facts,Who was the first European convert?,Phoebe,Priscilla,Lydia,Salome,C,Acts 16:14
